Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,3.0,0.1808,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['geopandas', 'plot', 'empty', 'changing', 'crs', 'plotting', 'fig', 'ax', 'without', 'fig', 'ax', 'everything', 'fine']"
1,3.0,0.1447,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['push', 'state', 'data', 'array', 'time', 'button', 'clicked']"
2,3.0,0.1603,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['read', 'excel', 'reformat', 'multi', 'index', 'headers', 'pandas']"
3,0.0,0.1343,"python, string, image, make, output, strings, replace, specific, print, split","['checking', 'conditions', 'string', 'index']"
4,3.0,0.1528,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['misplaced', 'subplot', 'removing', 'label']"
5,2.0,0.1652,"python, file, csv, files, google, run, script, api, read, save","['convert', 'curl', 'command', 'python', 'requests', 'retrieve', 'results', 'via', 'api']"
6,2.0,0.1751,"python, file, csv, files, google, run, script, api, read, save","['blogdown', 'deploy', 'github', 'actions', 'gh', 'pages']"
7,5.0,0.1473,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['properly', 'trimming', 'whitespace', 'across', 'entire', 'pandas', 'dataframe']"
8,7.0,0.1394,"function, multiple, array, numpy, create, object, class, return, query, attribute","['use', 'minus', 'array']"
9,2.0,0.1373,"python, file, csv, files, google, run, script, api, read, save","['imagick', 'using', 'intervention']"
10,5.0,0.1662,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['duplicating', 'rows', 'dataframe', 'using', 'nd', 'level', 'index']"
11,7.0,0.15,"function, multiple, array, numpy, create, object, class, return, query, attribute","['set', 'extras', 'vars', 'ansible', 'api']"
12,1.0,0.1343,"data, convert, model, django, table, tensorflow, keras, type, method, input","['validated', 'date', 'returned', 'serializer']"
13,0.0,0.1737,"python, string, image, make, output, strings, replace, specific, print, split","['make', 'print', 'df', 'id', 'value_counts', 'print', 'categories', 'column', 'contains', 'categories']"
14,7.0,0.1394,"function, multiple, array, numpy, create, object, class, return, query, attribute","['function', 'fix']"
15,2.0,0.1989,"python, file, csv, files, google, run, script, api, read, save","['insert', 'comments', 'google', 'sheet', 'using', 'google', 'script']"
16,5.0,0.1528,"pandas, dataframe, column, columns, values, based, rows, row, groupby, condition","['determine', 'counts', 'column', 'label']"
17,4.0,0.1974,"list, python, dictionary, find, text, add, remove, number, elements, json","['limit', 'child', 'widget', 'move', 'range', 'parent', 'widget']"
18,6.0,0.1557,"error, date, code, sql, set, selenium, html, format, import, flask","['html', 'email', 'outlook']"
19,7.0,0.1528,"function, multiple, array, numpy, create, object, class, return, query, attribute","['masking', 'pytorch', 'numpy', 'different', 'dimensions']"
20,3.0,0.1473,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['open', 'new', 'window', 'graph', 'plot', 'stay', 'displayed']"
21,7.0,0.1843,"function, multiple, array, numpy, create, object, class, return, query, attribute","['create', 'numpy', 'array', 'append', 'function']"
22,4.0,0.1528,"list, python, dictionary, find, text, add, remove, number, elements, json","['write', 'code', 'using', 'dictionary', 'comprehension']"
23,1.0,0.1682,"data, convert, model, django, table, tensorflow, keras, type, method, input","['unable', 'convert', 'int', 'integer', 'java']"
24,0.0,0.1727,"python, string, image, make, output, strings, replace, specific, print, split","['opencv', 'face', 'detection', 'live', 'video', 'feed', 'using', 'qt', 'gui', 'performing', 'slow']"
25,2.0,0.1425,"python, file, csv, files, google, run, script, api, read, save","['open', 'new', 'tab', 'selenium', 'python']"
26,1.0,0.1473,"data, convert, model, django, table, tensorflow, keras, type, method, input","['object', 'type', 'period', 'json', 'serializable', 'plotly']"
27,1.0,0.1343,"data, convert, model, django, table, tensorflow, keras, type, method, input","['concatenating', 'mkv', 'files', 'using', 'ffmpeg']"
28,4.0,0.1343,"list, python, dictionary, find, text, add, remove, number, elements, json","['remove', 'last', 'column', 'array', 'python']"
29,1.0,0.1445,"data, convert, model, django, table, tensorflow, keras, type, method, input","['updating', 'cutadapt', 'newer', 'version']"
30,2.0,0.1642,"python, file, csv, files, google, run, script, api, read, save","['qt', 'disable', 'high', 'dpi', 'scaling', 'qt', 'disable']"
31,3.0,0.1473,"values, time, loop, plot, index, variable, change, series, matplotlib, line","['use', 'regex', 'change', 'matching', 'values', 'multiindex', 'column']"
32,1.0,0.1368,"data, convert, model, django, table, tensorflow, keras, type, method, input","['see', 'full', 'pandas', 'table']"
33,6.0,0.1447,"error, date, code, sql, set, selenium, html, format, import, flask","['java', 'null', 'point', 'exception', 'applying', 'tf', 'idf']"
34,0.0,0.1507,"python, string, image, make, output, strings, replace, specific, print, split","['overlaying', 'distorted', 'text', 'according', 'background']"
