cid	sno	rid	no_seats
ACCT101	G1	1	40
ACCT101	G1	2	3
ACCT101	G1	3	2
ACCT101	G1	4	0
ACCT101	G1	5	0
ACCT102	G1	1	40
ACCT102	G1	2	3
ACCT102	G1	3	2
ACCT102	G1	4	0
ACCT102	G1	5	0
ACCT201	G1	1	20
ACCT201	G1	2	20
ACCT201	G1	3	5
ACCT201	G1	4	0
ACCT201	G1	5	0
ACCT207	G1	1	20
ACCT207	G1	2	15
ACCT207	G1	3	5
ACCT207	G1	4	2
ACCT207	G1	5	3
ACCT221	G1	1	30
ACCT221	G1	2	10
ACCT221	G1	3	5
ACCT221	G1	4	0
ACCT221	G1	5	0
ACCT223	G1	1	30
ACCT223	G1	2	10
ACCT223	G1	3	5
ACCT223	G1	4	0
ACCT223	G1	5	0
ACCT224	G1	1	20
ACCT224	G1	2	20
ACCT224	G1	3	5
ACCT224	G1	4	0
ACCT224	G1	5	0
ACCT302	G1	1	20
ACCT302	G1	2	15
ACCT302	G1	3	5
ACCT302	G1	4	2
ACCT302	G1	5	3
ACCT321	G1	1	20
ACCT321	G1	2	20
ACCT321	G1	3	5
ACCT321	G1	4	0
ACCT321	G1	5	0
ACCT331	G1	1	30
ACCT331	G1	2	10
ACCT331	G1	3	5
ACCT331	G1	4	0
ACCT331	G1	5	0
ACCT402	G1	1	20
ACCT402	G1	2	15
ACCT402	G1	3	5
ACCT402	G1	4	2
ACCT402	G1	5	3
ACCT407	G1	1	20
ACCT407	G1	2	15
ACCT407	G1	3	5
ACCT407	G1	4	2
ACCT407	G1	5	3
ACCT409	G1	1	20
ACCT409	G1	2	20
ACCT409	G1	3	5
ACCT409	G1	4	0
ACCT409	G1	5	0
ACCT417	G1	1	30
ACCT417	G1	2	10
ACCT417	G1	3	5
ACCT417	G1	4	0
ACCT417	G1	5	0
ACCT419	G1	1	20
ACCT419	G1	2	20
ACCT419	G1	3	5
ACCT419	G1	4	0
ACCT419	G1	5	0
ACCT420	G1	1	20
ACCT420	G1	2	15
ACCT420	G1	3	5
ACCT420	G1	4	2
ACCT420	G1	5	3
ACM101	G1	1	20
ACM101	G1	2	20
ACM101	G1	3	5
ACM101	G1	4	0
ACM101	G1	5	0
ACM304	G1	1	30
ACM304	G1	2	10
ACM304	G1	3	5
ACM304	G1	4	0
ACM304	G1	5	0
COMM101	G1	1	15
COMM101	G1	2	5
COMM101	G1	3	5
COMM101	G1	4	0
COMM101	G1	5	0
COMM101	G2	1	15
COMM101	G2	2	5
COMM101	G2	3	5
COMM101	G2	4	0
COMM101	G2	5	0
COMM101	G3	1	15
COMM101	G3	2	5
COMM101	G3	3	5
COMM101	G3	4	0
COMM101	G3	5	0
COMM101	G4	1	15
COMM101	G4	2	5
COMM101	G4	3	5
COMM101	G4	4	0
COMM101	G4	5	0
COMM225	G1	1	25
COMM225	G1	2	0
COMM225	G1	3	0
COMM225	G1	4	0
COMM225	G1	5	0
COMM225	G2	1	25
COMM225	G2	2	0
COMM225	G2	3	0
COMM225	G2	4	0
COMM225	G2	5	0
COMM225	G3	1	25
COMM225	G3	2	0
COMM225	G3	3	0
COMM225	G3	4	0
COMM225	G3	5	0
COMM225	G4	1	25
COMM225	G4	2	0
COMM225	G4	3	0
COMM225	G4	4	0
COMM225	G4	5	0
COMM226	G1	1	20
COMM226	G1	2	20
COMM226	G1	3	5
COMM226	G1	4	0
COMM226	G1	5	0
COMM254	G1	1	30
COMM254	G1	2	10
COMM254	G1	3	5
COMM254	G1	4	0
COMM254	G1	5	0
CS102	G1	1	20
CS102	G1	2	10
CS102	G1	3	10
CS102	G1	4	10
CS102	G1	5	0
CS104	G1	1	20
CS104	G1	2	15
CS104	G1	3	10
CS104	G1	4	5
CS104	G1	5	0
CS206	G1	1	25
CS206	G1	2	25
CS206	G1	3	0
CS206	G1	4	0
CS206	G1	5	0
CS301	G1	1	20
CS301	G1	2	20
CS301	G1	3	10
CS301	G1	4	0
CS301	G1	5	0
CS442	G1	1	20
CS442	G1	2	20
CS442	G1	3	10
CS442	G1	4	0
CS442	G1	5	0
