cid	sno	sch_day	start_time	end_time	capacity
ACCT101	G1	Wednesday	15:30:00	18:45:00	45
ACCT101	G2	Monday	12:00:00	15:15:00	40
ACCT102	G1	Thursday	19:00:00	22:15:00	45
ACCT102	G2	Friday	8:15:00	11:30:00	45
ACCT201	G1	Monday	12:00:00	15:15:00	45
ACCT207	G1	Wednesday	15:30:00	18:45:00	45
ACCT221	G1	Tuesday	15:30:00	18:45:00	45
ACCT223	G1	Wednesday	19:00:00	22:15:00	45
ACCT224	G1	Friday	8:15:00	11:30:00	45
ACCT302	G1	Thursday	19:00:00	22:15:00	45
ACCT321	G1	Tuesday	12:00:00	15:15:00	45
ACCT331	G1	Thursday	19:00:00	22:15:00	45
ACCT402	G1	Monday	12:00:00	15:15:00	45
ACCT407	G1	Tuesday	15:30:00	18:45:00	45
ACCT409	G1	Wednesday	19:00:00	22:15:00	45
ACCT417	G1	Thursday	8:15:00	11:30:00	45
ACCT419	G1	Friday	12:00:00	15:15:00	45
ACCT420	G1	Monday	15:30:00	18:45:00	45
ACCT420	G2	Wednesday	12:00:00	15:15:00	42
ACM101	G1	Tuesday	19:00:00	22:15:00	45
ACM101	G2	Monday	12:00:00	15:15:00	40
ACM304	G1	Monday	15:30:00	18:45:00	45
COMM101	G1	Monday	8:15:00	11:30:00	25
COMM101	G2	Monday	12:00:00	15:15:00	25
COMM101	G3	Monday	15:30:00	18:45:00	25
COMM101	G4	Monday	19:00:00	22:15:00	25
COMM225	G1	Wednesday	8:15:00	11:30:00	25
COMM225	G2	Wednesday	12:00:00	15:15:00	25
COMM225	G3	Wednesday	15:30:00	18:45:00	25
COMM225	G4	Wednesday	19:00:00	22:15:00	25
COMM226	G1	Tuesday	8:15:00	11:30:00	45
COMM254	G1	Thursday	8:15:00	11:30:00	45
CS102	G1	Monday	12:00:00	15:15:15	50
CS104	G1	Thursday	8:15:00	11:30:00	50
CS206	G1	Tuesday	12:00:00	15:15:00	50
CS301	G1	Monday	12:00:00	15:15:00	50
CS442	G1	Wednesday	15:30:00	18:45:00	50
ECON101	G1	Thursday	12:00:00	15:15:00	42
ECON101	G2	Friday	8:15:00	11:30:00	45
ECON101	G3	Monday	19:00:00	22:15:00	45
ECON101	G4	Wednesday	8:15:00	11:30:00	45
ECON101	G5	Wednesday	12:00:00	15:15:00	42
ECON102	G1	Tuesday	19:00:00	22:15:00	45
ECON102	G2	Thursday	19:00:00	22:15:00	45
ECON102	G3	Friday	8:15:00	11:30:00	45
ECON102	G4	Friday	12:00:00	15:15:00	45
ECON102	G5	Monday	15:30:00	18:45:00	45
ECON104	G1	Monday	8:15:00	11:30:00	12
